district_label_bn,division,district,source_upazila,canonical_upazila,resolution_type,reason
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Chiringa Community Centre (Chakaria),Chakaria,parenthetical,parenthetical
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ghorakghat (Moheshkhali),Moheshkhali,parenthetical,parenthetical
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Kutubdia,Kutubdia,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ramu,Ramu,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Sadar,Coxsbazar Sadar,safe_candidate,unique_district_sadar
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Teknaf,Teknaf,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ukhiya,Ukhiya,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Astagram,Austagram,safe_candidate,high_similarity:0.941;margin:0.370
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bajitpur,Bajitpur,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bhairab,Bhairab,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Hussainpur,Hossainpur,safe_candidate,high_similarity:0.900;margin:0.344
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Itna,Itna,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Karimgonj,Karimgonj,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kathiadi,Katiadi,safe_candidate,high_similarity:0.933;margin:0.533
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kuliarchar,Kuliarchar,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Mithamain,Mithamoin,safe_candidate,high_similarity:0.889;margin:0.356
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Nikli,Nikli,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Pakundi,Pakundia,safe_candidate,high_similarity:0.933;margin:0.504
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Sadar,Kishoreganj Sadar,safe_candidate,unique_district_sadar
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Tarail,Tarail,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Barura,Barura,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Brahmanpara,Brahmanpara,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Burichang,Burichang,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chandina,Chandina,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chaudha Gram,Chauddagram,safe_candidate,high_similarity:0.909;margin:0.383
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Daudkandi,Daudkandi,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Debidwar,Debidwar,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Homna,Homna,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Laksam,Laksam,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Muradnagar,Muradnagar,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Nangalkot,Nangalkot,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Sadar,Comilla Sadar,safe_candidate,unique_district_sadar
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Bheramara,Bheramara,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Janipur (Khoksa),Khoksa,parenthetical,parenthetical
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Kumarkhali,Kumarkhali,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Mirpur,Mirpur,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Refayetpur (Daulatpur),Daulatpur,parenthetical,parenthetical
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Sadar,Kushtia Sadar,safe_candidate,unique_district_sadar
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Bhurungamari,Bhurungamari,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Chilmari,Chilmari,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Nageswari,Nageshwari,safe_candidate,high_similarity:0.947;margin:0.447
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajarhat,Rajarhat,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Sadar,Kurigram Sadar,safe_candidate,unique_district_sadar
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Ulipur,Ulipur,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Diginala,Dighinala,safe_candidate,high_similarity:0.941;margin:0.541
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Mahal Chari,Mohalchari,safe_candidate,high_similarity:0.900;margin:0.200
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Manikchari,Manikchari,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Matiranga,Matiranga,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Panchari,Panchari,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Sadar,Khagrachhari Sadar,safe_candidate,unique_district_sadar
খুলনা পোস্ট কোড,Khulna,Khulna,Alaipur (Rupsha),Rupsha,parenthetical,parenthetical
খুলনা পোস্ট কোড,Khulna,Khulna,Madinabad (Koyra),Koyra,parenthetical,parenthetical
খুলনা পোস্ট কোড,Khulna,Khulna,Sadar,Khulna Sadar,safe_candidate,unique_district_sadar
খুলনা পোস্ট কোড,Khulna,Khulna,Sajiara (Dumuria),Dumuria,parenthetical,parenthetical
খুলনা পোস্ট কোড,Khulna,Khulna,Terakhada,Terokhada,safe_candidate,high_similarity:0.889;margin:0.333
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Gobindagonj,Gobindaganj,safe_candidate,high_similarity:0.909;margin:0.338
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Palashbari,Palashbari,exact,exact
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadar,Gaibandha Sadar,safe_candidate,unique_district_sadar
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadullahpur,Sadullapur,safe_candidate,high_similarity:0.952;margin:0.476
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sundargonj,Sundarganj,safe_candidate,high_similarity:0.900;margin:0.329
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kapasia,Kapasia,exact,exact
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Sreepur,Sreepur,exact,exact
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,kaliakair,Kaliakair,exact,exact
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kasiani,Kashiani,safe_candidate,high_similarity:0.933;margin:0.462
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kotalipara,Kotalipara,exact,exact
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Maksudpur,Muksudpur,safe_candidate,high_similarity:0.889;margin:0.541
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Sadar,Gopalganj Sadar,safe_candidate,unique_district_sadar
